id,Machine failure
136429,0.001230564
136430,0.0018105644
136431,0.00081759156
136432,0.0012870394
136433,0.0013290517
136434,0.0009420028
136435,0.0063715624
136436,0.0018581802
136437,0.0008416232
136438,0.0008115975
136439,0.00086983596
136440,0.0015012951
136441,0.000897956
136442,0.0007639251
136443,0.001345401
136444,0.0021581417
136445,0.0007590674
136446,0.9975858
136447,0.00077698834
136448,0.0011485645
136449,0.0026314699
136450,0.0011095988
136451,0.0045885635
136452,0.03153167
136453,0.0012607848
136454,0.0006981765
136455,0.00094814243
136456,0.00089770067
136457,0.0015658246
136458,0.0013499478
136459,0.0067561828
136460,0.0052187443
136461,0.0011796566
136462,0.026698295
136463,0.023957312
136464,0.0014266471
136465,0.0009381813
136466,0.002331961
136467,0.002477708
136468,0.0009935583
136469,0.0007880338
136470,0.0012470073
136471,0.007844209
136472,0.0040471395
136473,0.001148889
136474,0.0011836377
136475,0.0013662812
136476,0.008662983
136477,0.001230564
136478,0.0010359032
136479,0.0013321089
136480,0.024871571
136481,0.0028371005
136482,0.08480936
136483,0.0014079188
136484,0.0010481392
136485,0.0007113595
136486,0.0020156845
136487,0.0008208616
136488,0.0051631443
136489,0.0010688667
136490,0.024207132
136491,0.005988757
136492,0.00057094224
136493,0.00527517
136494,0.00066189736
136495,0.0030504281
136496,0.0010718544
136497,0.0008750953
136498,0.012791097
136499,0.00096468726
136500,0.001743953
136501,0.0009310694
136502,0.0011005428
136503,0.0021409092
136504,0.000873589
136505,0.0031337095
136506,0.0026096248
136507,0.0009010281
136508,0.0015918488
136509,0.0022281078
136510,0.00068774726
136511,0.0027079002
136512,0.0005069997
136513,0.005145649
136514,0.00087688107
136515,0.00091375614
136516,0.0013200257
136517,0.0015949074
136518,0.0007012212
136519,0.0018082183
136520,0.0026441577
136521,0.0010680157
136522,0.0034652327
136523,0.0008656683
136524,0.0006092466
136525,0.0013707712
136526,0.0023457834
136527,0.0024299081
136528,0.0009002249
136529,0.002467037
136530,0.005618579
136531,0.0030414246
136532,0.000955158
136533,0.0051202714
136534,0.0014131098
136535,0.0009552426
136536,0.0012355332
136537,0.0008311594
136538,0.002044922
136539,0.0012468826
136540,0.00056814984
136541,0.0007590674
136542,0.0012498469
136543,0.0025567135
136544,0.0009329888
136545,0.00097336527
136546,0.0010085967
136547,0.0018174682
136548,0.0014634158
136549,0.0043756114
136550,0.002283621
136551,0.00074928574
136552,0.0009543074
136553,0.003352271
136554,0.0008462713
136555,0.011250006
136556,0.0008280949
136557,0.0014742981
136558,0.0021581417
136559,0.0013112668
136560,0.0022261527
136561,0.0020805795
136562,0.0022267343
136563,0.00069861003
136564,0.00044041142
136565,0.012867835
136566,0.0013011179
136567,0.003953302
136568,0.0016256009
136569,0.0009805281
136570,0.0008618782
136571,0.02321186
136572,0.0019226831
136573,0.002798331
136574,0.0020988868
136575,0.0016020928
136576,0.001169077
136577,0.0015118785
136578,0.00078236824
136579,0.038998064
136580,0.00088120846
136581,0.006744057
136582,0.0007590674
136583,0.0006492414
136584,0.00064051384
136585,0.008086231
136586,0.18473373
136587,0.0006597312
136588,0.0015807209
136589,0.0014797061
136590,0.0017771898
136591,0.0050750365
136592,0.010208457
136593,0.008353937
136594,0.0009634382
136595,0.00064329006
136596,0.0007590674
136597,0.0009627408
136598,0.000911395
136599,0.0013027343
136600,0.0007737793
136601,0.00605283
136602,0.0030898594
136603,0.005206653
136604,0.0008099886
136605,0.0045134034
136606,0.0022140078
136607,0.00577952
136608,0.011609612
136609,0.0009624038
136610,0.003292344
