id,Machine failure
0,0.0013452466
1,0.0017777238
2,0.0008277123
3,0.0012293163
4,0.0011589278
5,0.00084812555
6,0.006683414
7,0.0015837181
8,0.000822665
9,0.0008292244
10,0.0008971026
11,0.0013131822
12,0.0011170609
13,0.0007820261
14,0.0013771967
15,0.0032739674
16,0.0009057563
17,0.9946827
18,0.00076005945
19,0.0010746701
20,0.0037217687
21,0.00084382907
22,0.004740682
23,0.024859512
24,0.0008654246
25,0.000968829
26,0.0009678326
27,0.0006960734
28,0.001335834
29,0.0016354697
30,0.009781109
31,0.0060801357
32,0.00092566793
33,0.038967256
34,0.018210938
35,0.0013657361
36,0.00084553583
37,0.0027859332
38,0.0020720146
39,0.0008477988
40,0.0009416461
41,0.0013022833
42,0.013595758
43,0.0038353025
44,0.0016776562
45,0.0009975904
46,0.0011158314
47,0.013163456
48,0.0013275804
49,0.0009994145
50,0.0018444835
51,0.021519208
52,0.0034424656
53,0.09382638
54,0.0013240693
55,0.001254254
56,0.00069646095
57,0.002328529
58,0.0006507216
59,0.008243825
60,0.0010358193
61,0.030624473
62,0.006235365
63,0.00059962703
64,0.0066385777
65,0.0007097908
66,0.0035525665
67,0.0009967197
68,0.00076005945
69,0.014884113
70,0.0009135068
71,0.000823793
72,0.0010322772
73,0.00076910795
74,0.0025859736
75,0.0011006099
76,0.0029641434
77,0.0025992314
78,0.0010017506
79,0.0018381535
80,0.0030187473
81,0.0008243038
82,0.0035856836
83,0.0007034044
84,0.0069536925
85,0.0010303402
86,0.0008456309
87,0.0010132293
88,0.0021215666
89,0.00070242974
90,0.0012022738
91,0.0023837404
92,0.0013594124
93,0.0029656389
94,0.00080507644
95,0.0007886791
96,0.0013305994
97,0.0026856048
98,0.0023438693
99,0.0010737767
100,0.0027561726
101,0.0065891976
102,0.0025953983
103,0.00085059815
104,0.009057601
105,0.0015580923
106,0.0010738412
107,0.0015113782
108,0.0012747202
109,0.003993573
110,0.0013290099
111,0.0007815113
112,0.0008671593
113,0.000917126
114,0.002175467
115,0.0008173874
116,0.00084382907
117,0.0012569556
118,0.0018116988
119,0.00079632766
120,0.005028941
121,0.0028072884
122,0.0012586334
123,0.0009855771
124,0.0043854066
125,0.0009359559
126,0.016654111
127,0.0006960734
128,0.0015527523
129,0.002773051
130,0.0009748724
131,0.0037017586
132,0.0017936347
133,0.0024330947
134,0.0007719341
135,0.0006008682
136,0.01147169
137,0.001555068
138,0.0038235027
139,0.0013118046
140,0.00081627554
141,0.0018472571
142,0.0338548
143,0.0015588239
144,0.001152279
145,0.0015567302
146,0.003103408
147,0.0008816788
148,0.001696525
149,0.0010026796
150,0.032852184
151,0.00083450513
152,0.0048399474
153,0.0008671593
154,0.00079027447
155,0.00086310186
156,0.010652486
157,0.20771553
158,0.00072663464
159,0.0015697224
160,0.0014576842
161,0.0010743687
162,0.0075519183
163,0.013928001
164,0.010073445
165,0.00086195493
166,0.00082378596
167,0.0008671593
168,0.00071706314
169,0.00084382907
170,0.0009748724
171,0.0007284106
172,0.0061600674
173,0.0033189843
174,0.0063447687
175,0.000764907
176,0.0062244157
177,0.001411504
178,0.007186745
179,0.016979253
180,0.0008559598
181,0.0033424476
182,0.0006477306
183,0.0011514439
184,0.00076781865
185,0.0009807321
186,0.002439255
187,0.0006763654
188,0.0014242396
189,0.001642309
190,0.00095889554
191,0.0007318544
192,0.0009754132
193,0.0017961313
194,0.0009298464
195,0.0060336106
196,0.001701627
197,0.0017466763
198,0.053219143
199,0.0033244258
200,0.0011375953
201,0.0007785054
202,0.0044109006
203,0.001884504
204,0.0021717243
205,0.001313797
206,0.0023986036
207,0.007543877
208,0.0024946812
209,0.9867901
210,0.007469554
211,0.011066715
212,0.0008171752
213,0.0030187
214,0.044604443
215,0.0007276665
216,0.00091376744
217,0.00075392594
218,0.0013727439
219,0.015973108
220,0.0016198934
221,0.0032359678
222,0.00070762075
223,0.9966445
224,0.00130748
225,0.000644222
226,0.0034358695
227,0.0014738517
