id,sales
3000888,211.63369794478137
3000889,211.63371418304212
3000890,285.59437513299963
3000891,951.2401937765314
3000892,211.6337628978244
3000893,655.3976474062658
3000894,211.63379537434594
3000895,1136.1418705088165
3000896,1875.7483338640454
3000897,877.2796464943992
3000898,248.61418268323735
3000899,248.61419892149812
3000900,2578.3745235782076
3000901,211.63390904217124
3000902,211.63392528043198
3000903,285.5945862303895
3000904,433.5158918920439
3000905,211.63397399521426
3000906,581.4372137919589
3000907,211.6340064717358
3000908,803.3191804035708
3000909,396.5356507274993
3000910,544.4569563891537
3000911,211.63407142477882
3000912,211.6340876630396
3000913,877.2799063065714
3000914,211.6341201395611
3000915,211.63413637782187
3000916,211.63415261608262
3000917,211.6341688543434
3000918,9678.596708189794
3000919,729.3587143127424
3000920,211.63421756912567
3000921,237.57162041905838
3000922,237.57163665731912
3000923,311.5322976072767
3000924,1827.7255304353216
3000925,237.5716853721014
3000926,792.276536948088
3000927,237.57171784862294
3000928,1346.9814047623354
3000929,4157.485920045074
3000930,903.2175689686763
3000931,274.55210515751435
3000932,274.5521213957751
3000933,3787.6827614396334
3000934,237.57183151644824
3000935,237.571847754709
3000936,311.53250870466655
3000937,459.4538143663209
3000938,237.57189646949126
3000939,792.2767480454779
3000940,237.5719289460128
3000941,829.2571028778478
3000942,422.4735732017763
3000943,607.375201219279
3000944,237.57199389905583
3000945,237.5720101373166
3000946,940.1981511366969
3000947,237.5720426138381
3000948,237.57205885209888
3000949,237.57207509035965
3000950,237.5720913286204
3000951,8743.046249412011
3000952,755.2966367870195
3000953,237.57214004340267
3000954,240.45408812740476
3000955,240.4541043656655
3000956,314.4147653156231
3000957,2163.4308993463037
3000958,240.45415308044778
3000959,832.1393270122828
3000960,240.45418555696932
3000961,1534.7654842499237
3000962,5602.600959631509
3000963,906.1000366770227
3000964,277.4345728658608
3000965,277.4345891041215
3000966,4012.4471632830696
3000967,240.45429922479462
3000968,240.4543154630554
3000969,388.3756211247097
3000970,462.3362820746673
3000971,240.45436417783768
3000972,758.1788933979759
3000973,240.4543966543592
3000974,832.1395705861942
3000975,351.39539619842594
3000976,536.2970242159286
3000977,240.4544616074022
3000978,240.45447784566298
3000979,906.1002964891948
3000980,240.4545103221845
3000981,277.4348489162936
3000982,240.45454279870603
3000983,240.45455903696677
3000984,6268.247119278516
3000985,758.1791044953658
3000986,240.45460775174905
3000987,243.33655583575114
3000988,243.3365720740119
3000989,317.29723302396945
3000990,1648.5888540727724
3000991,243.33662078879416
3000992,872.0021170764777
3000993,243.3366532653157
3000994,1315.76601782318
3000995,4496.073756664403
3000996,908.982504385369
3000997,280.3170405742071
3000998,280.31705681246785
3000999,3460.6247956536904
3001000,243.336766933141
3001001,243.33678317140178
3001002,317.2974441213593
3001003,465.21874978301366
3001004,243.33683188618406
3001005,798.0416834621707
3001006,243.33686436270557
3001007,835.0220382945407
3001008,428.23850861846904
3001009,576.1598142801233
3001010,243.3369293157486
3001011,243.33694555400936
3001012,798.0417971299959
3001013,243.33697803053087
3001014,243.33699426879164
3001015,280.3173328629008
3001016,243.33702674531315
3001017,8342.027638914371
3001018,761.0615722037122
3001019,243.33707546009543
3001020,246.21902354409752
3001021,246.2190397823583
3001022,320.17970073231584
3001023,1466.5697100018765
3001024,246.21908849714058
3001025,837.9042624289757
3001026,246.2191209736621
3001027,1318.6484855315261
3001028,4203.113645525962
3001029,911.8649720937154
3001030,283.19950828255355
3001031,283.1995245208143
3001032,3574.448230429582
3001033,246.2192346414874
3001034,246.21925087974816
3001035,320.1799118297057
3001036,468.1012174913601
3001037,246.21929959453044
3001038,763.9438288146688
3001039,246.21933207105195
3001040,837.904506002887
3001041,357.16033161511865
3001042,616.0226043443181
3001043,246.219397024095
3001044,246.21941326235574
3001045,985.8258766175844
3001046,246.21944573887728
3001047,246.21946197713802
3001048,246.2194782153988
3001049,246.21949445365954
3001050,9269.41816551893
3001051,763.9440399120587
3001052,246.21954316844182
3001053,249.1014912524439
3001054,249.10150749070468
3001055,323.0621684406622
3001056,1654.3537894894653
3001057,249.10155620548696
3001058,803.8064077814736
3001059,249.10158868200847
3001060,1395.4915979515695
3001061,4464.858369725247
3001062,914.7474398020618
3001063,286.0819759908999
3001064,286.0819922291607
3001065,3503.370053426231
3001066,249.10170234983377
3001067,249.10171858809454
3001068,323.0623795380521
3001069,470.98368519970643
3001070,249.10176730287682
3001071,766.8262965230151
3001072,249.10179977939833
3001073,840.7869737112334
3001074,397.0231216793134
3001075,581.9247496968162
3001076,249.10186473244138
3001077,249.10188097070215
3001078,877.7673772583856
3001079,249.10191344722367
3001080,249.10192968548444
3001081,249.10194592374518
3001082,249.10196216200595
3001083,8495.71386375446
3001084,766.826507620405
3001085,249.1020108767882
3001086,251.9839589607903
3001087,251.98397519905106
